"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	283	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	188	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	101	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	80	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	64	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	82	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	65	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	112	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			1268	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2018"	"2018/01"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2018"	"2018/04"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			68	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2018"	"2018/01"	310	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2018"	"2018/02"	125	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2018"	"2018/03"	118	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2018"	"2018/04"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2018"	"2018/05"	62	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2018"	"2018/06"	43	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2018"	"2018/07"	59	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2018"	"2018/08"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2018"	"2018/09"	54	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2018"	"2018/10"	55	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2018"	"2018/11"	65	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2018"	"2018/12"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			1116	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2018"	"2018/01"	169	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2018"	"2018/02"	114	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2018"	"2018/03"	61	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2018"	"2018/04"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2018"	"2018/05"	45	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2018"	"2018/06"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2018"	"2018/07"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2018"	"2018/08"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2018"	"2018/09"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2018"	"2018/10"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2018"	"2018/11"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2018"	"2018/12"	45	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			670	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	1672	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	815	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	761	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	547	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	430	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	384	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	355	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	326	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	316	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	345	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	443	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	523	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"California"	"06"			6917	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2018"	"2018/01"	136	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2018"	"2018/02"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2018"	"2018/03"	82	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2018"	"2018/04"	41	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2018"	"2018/05"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2018"	"2018/06"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2018"	"2018/07"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2018"	"2018/08"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2018"	"2018/09"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2018"	"2018/10"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2018"	"2018/11"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2018"	"2018/12"	46	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"			568	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jan., 2018"	"2018/01"	137	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Feb., 2018"	"2018/02"	125	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Mar., 2018"	"2018/03"	98	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Apr., 2018"	"2018/04"	74	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"May, 2018"	"2018/05"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jun., 2018"	"2018/06"	43	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jul., 2018"	"2018/07"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Aug., 2018"	"2018/08"	45	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sep., 2018"	"2018/09"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Oct., 2018"	"2018/10"	47	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nov., 2018"	"2018/11"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Dec., 2018"	"2018/12"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"			757	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jan., 2018"	"2018/01"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Delaware"	"10"	"Feb., 2018"	"2018/02"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Delaware"	"10"	"Mar., 2018"	"2018/03"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Delaware"	"10"	"Apr., 2018"	"2018/04"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jul., 2018"	"2018/07"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Delaware"	"10"	"Aug., 2018"	"2018/08"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Delaware"	"10"	"Oct., 2018"	"2018/10"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"			167	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Jan., 2018"	"2018/01"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Feb., 2018"	"2018/02"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"			79	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2018"	"2018/01"	526	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2018"	"2018/02"	430	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2018"	"2018/03"	301	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2018"	"2018/04"	244	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2018"	"2018/05"	206	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 2018"	"2018/06"	195	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 2018"	"2018/07"	191	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 2018"	"2018/08"	176	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 2018"	"2018/09"	185	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 2018"	"2018/10"	187	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 2018"	"2018/11"	202	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 2018"	"2018/12"	248	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Florida"	"12"			3091	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Jan., 2018"	"2018/01"	299	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Feb., 2018"	"2018/02"	244	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Mar., 2018"	"2018/03"	149	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Apr., 2018"	"2018/04"	109	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"May, 2018"	"2018/05"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Jun., 2018"	"2018/06"	69	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Jul., 2018"	"2018/07"	84	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Aug., 2018"	"2018/08"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Sep., 2018"	"2018/09"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Oct., 2018"	"2018/10"	86	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Nov., 2018"	"2018/11"	102	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Georgia"	"13"	"Dec., 2018"	"2018/12"	140	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"			1530	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2018"	"2018/01"	68	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2018"	"2018/02"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2018"	"2018/03"	51	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2018"	"2018/04"	46	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2018"	"2018/05"	36	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2018"	"2018/06"	52	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2018"	"2018/07"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2018"	"2018/08"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2018"	"2018/09"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2018"	"2018/10"	44	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2018"	"2018/11"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
